Season,Club/Country,Award,Player
12,Croatia,Footballer of the Year,Mario Mandžukić
11/12,EURO 2012- 3 Goals,Top goal scorer,Mario Mandžukić
08/09,SuperSport HNL- 16 Goals,Top goal scorer,Mario Mandžukić
12/13,Bayern Munich,Champions League winner,Mario Mandžukić
14,Bayern Munich,FIFA Club World Cup winner,Mario Mandžukić
13/14,Bayern Munich,German Champion,Mario Mandžukić
12/13,Bayern Munich,German Champion,Mario Mandžukić
19/20,Juventus FC,Italian champion,Mario Mandžukić
18/19,Juventus FC,Italian champion,Mario Mandžukić
17/18,Juventus FC,Italian champion,Mario Mandžukić
16/17,Juventus FC,Italian champion,Mario Mandžukić
15/16,Juventus FC,Italian champion,Mario Mandžukić
13/14,Bayern Munich,Uefa Supercup winner,Mario Mandžukić
13/14,Bayern Munich,German cup winner,Mario Mandžukić
12/13,Bayern Munich,German cup winner,Mario Mandžukić
17/18,Juventus FC,Italian cup winner,Mario Mandžukić
16/17,Juventus FC,Italian cup winner,Mario Mandžukić
15/16,Juventus FC,Italian cup winner,Mario Mandžukić
18/19,Juventus FC,Italian Super Cup winner,Mario Mandžukić
15/16,Juventus FC,Italian Super Cup winner,Mario Mandžukić
14/15,Atlético de Madrid,Spanish Super Cup winner,Mario Mandžukić
12/13,Bayern Munich,German Super Cup winner,Mario Mandžukić
09/10,GNK Dinamo Zagreb,Croatian champion,Mario Mandžukić
08/09,GNK Dinamo Zagreb,Croatian champion,Mario Mandžukić
07/08,GNK Dinamo Zagreb,Croatian champion,Mario Mandžukić
08/09,GNK Dinamo Zagreb,Croatian cup winner,Mario Mandžukić
07/08,GNK Dinamo Zagreb,Croatian cup winner,Mario Mandžukić
19/20,Al-Duhail SC,Qatari champion,Mario Mandžukić
19,Liverpool FC,UEFA Best Player in Europe,Virgil van Dijk
18/19,Liverpool FC,Player of the Year,Virgil van Dijk
19,England,TM-Player of the season,Virgil van Dijk
18/19,Liverpool FC,Champions League winner,Virgil van Dijk
19,Liverpool FC,FIFA Club World Cup winner,Virgil van Dijk
19/20,Liverpool FC,English Champion,Virgil van Dijk
19/20,Liverpool FC,Uefa Supercup winner,Virgil van Dijk
22,Liverpool FC,English FA Cup winner,Virgil van Dijk
22,Liverpool FC,English League Cup winner,Virgil van Dijk
23,Liverpool FC,English Super Cup winner,Virgil van Dijk
14/15,Celtic FC,Scottish champion,Virgil van Dijk
13/14,Celtic FC,Scottish champion,Virgil van Dijk
14/15,Celtic FC,Scottish league cup winner,Virgil van Dijk
19,Portugal,Footballer of the Year,Bernardo Silva
22/23,Manchester City,Champions League winner,Bernardo Silva
22/23,Manchester City,English Champion,Bernardo Silva
21/22,Manchester City,English Champion,Bernardo Silva
20/21,Manchester City,English Champion,Bernardo Silva
18/19,Manchester City,English Champion,Bernardo Silva
17/18,Manchester City,English Champion,Bernardo Silva
16/17,AS Monaco,French champion,Bernardo Silva
19,Portugal,Winner UEFA Nations League,Bernardo Silva
23,Manchester City,English FA Cup winner,Bernardo Silva
19,Manchester City,English FA Cup winner,Bernardo Silva
21,Manchester City,English League Cup winner,Bernardo Silva
20,Manchester City,English League Cup winner,Bernardo Silva
19,Manchester City,English League Cup winner,Bernardo Silva
18,Manchester City,English League Cup winner,Bernardo Silva
20,Manchester City,English Super Cup winner,Bernardo Silva
19,Manchester City,English Super Cup winner,Bernardo Silva
13/14,SL Benfica,Portuguese champion,Bernardo Silva
14,SL Benfica,Portuguese cup winner,Bernardo Silva
13/14,SL Benfica,Portuguese league cup winner,Bernardo Silva
22/23,FC Barcelona,Spanish champion,Frenkie de Jong
20/21,FC Barcelona,Spanish cup winner,Frenkie de Jong
22/23,FC Barcelona,Spanish Super Cup winner,Frenkie de Jong
18/19,Ajax Amsterdam,Dutch champion,Frenkie de Jong
18/19,Ajax Amsterdam,Dutch Cup winner,Frenkie de Jong
19,England,Footballer of the Year,Raheem Sterling
21/22,Manchester City,English Champion,Raheem Sterling
20/21,Manchester City,English Champion,Raheem Sterling
18/19,Manchester City,English Champion,Raheem Sterling
17/18,Manchester City,English Champion,Raheem Sterling
19,Manchester City,English FA Cup winner,Raheem Sterling
21,Manchester City,English League Cup winner,Raheem Sterling
20,Manchester City,English League Cup winner,Raheem Sterling
19,Manchester City,English League Cup winner,Raheem Sterling
18,Manchester City,English League Cup winner,Raheem Sterling
16,Manchester City,English League Cup winner,Raheem Sterling
20,Manchester City,English Super Cup winner,Raheem Sterling
19,Manchester City,English Super Cup winner,Raheem Sterling
19,Netherlands,Footballer of the Year,Matthijs de Ligt
19,Netherlands,TM-Player of the season,Matthijs de Ligt
18,Netherlands,TM-Player of the season,Matthijs de Ligt
22/23,Bayern Munich,German Champion,Matthijs de Ligt
19/20,Juventus FC,Italian champion,Matthijs de Ligt
20/21,Juventus FC,Italian cup winner,Matthijs de Ligt
22/23,Bayern Munich,German Super Cup winner,Matthijs de Ligt
20/21,Juventus FC,Italian Super Cup winner,Matthijs de Ligt
18/19,Ajax Amsterdam,Dutch champion,Matthijs de Ligt
18/19,Ajax Amsterdam,Dutch Cup winner,Matthijs de Ligt
16,Ajax Amsterdam U19,Dutch U19 Champion,Matthijs de Ligt
15,Ajax Amsterdam U19,Dutch U19 Champion,Matthijs de Ligt
18/19,Liverpool FC,Champions League winner,Trent Alexander-Arnold
20,Liverpool FC,FIFA Club World Cup winner,Trent Alexander-Arnold
19/20,Liverpool FC,English Champion,Trent Alexander-Arnold
19/20,Liverpool FC,Uefa Supercup winner,Trent Alexander-Arnold
22,Liverpool FC,English FA Cup winner,Trent Alexander-Arnold
22,Liverpool FC,English League Cup winner,Trent Alexander-Arnold
23,Liverpool FC,English Super Cup winner,Trent Alexander-Arnold
21,Netherlands,Footballer of the Year,Dušan Tadić
21,Serbia,Footballer of the Year,Dušan Tadić
19,Serbia,Footballer of the Year,Dušan Tadić
16,Serbia,Footballer of the Year,Dušan Tadić
18/19,Eredivisie- 28 Goals,Top goal scorer,Dušan Tadić
21,Netherlands,TM-Player of the season,Dušan Tadić
21/22,Ajax Amsterdam,Dutch champion,Dušan Tadić
20/21,Ajax Amsterdam,Dutch champion,Dušan Tadić
18/19,Ajax Amsterdam,Dutch champion,Dušan Tadić
20/21,Ajax Amsterdam,Dutch Cup winner,Dušan Tadić
18/19,Ajax Amsterdam,Dutch Cup winner,Dušan Tadić
20,Ajax Amsterdam,Dutch Super Cup winner,Dušan Tadić
22,"Korea, South",Footballer of the Year,Son Heung-min
21,"Korea, South",Footballer of the Year,Son Heung-min
20,"Korea, South",Footballer of the Year,Son Heung-min
19,"Korea, South",Footballer of the Year,Son Heung-min
17,"Korea, South",Footballer of the Year,Son Heung-min
14,"Korea, South",Footballer of the Year,Son Heung-min
13,"Korea, South",Footballer of the Year,Son Heung-min
20,,FIFA Puskás Award,Son Heung-min
19/20,Tottenham Hotspur,Player of the Year,Son Heung-min
18/19,Tottenham Hotspur,Player of the Year,Son Heung-min
21/22,Premier League- 23 Goals,Top goal scorer,Son Heung-min
16/17,FA Cup- 6 Goals,Top goal scorer,Son Heung-min
19,South Korea U23,Asian Games Gold Medal,Son Heung-min
18,Senegal,Footballer of the Year,Kalidou Koulibaly
17,Senegal,Footballer of the Year,Kalidou Koulibaly
22,Senegal,Africa Cup winner,Kalidou Koulibaly
19/20,SSC Napoli,Italian cup winner,Kalidou Koulibaly
14/15,SSC Napoli,Italian Super Cup winner,Kalidou Koulibaly
13,KRC Genk,Belgian cup winner,Kalidou Koulibaly
15,Netherlands,Footballer of the Year,Georginio Wijnaldum
18/19,Liverpool FC,Champions League winner,Georginio Wijnaldum
20,Liverpool FC,FIFA Club World Cup winner,Georginio Wijnaldum
19/20,Liverpool FC,English Champion,Georginio Wijnaldum
21/22,Paris Saint-Germain,French champion,Georginio Wijnaldum
19/20,Liverpool FC,Uefa Supercup winner,Georginio Wijnaldum
14/15,PSV Eindhoven,Dutch champion,Georginio Wijnaldum
11/12,PSV Eindhoven,Dutch Cup winner,Georginio Wijnaldum
07/08,Feyenoord Rotterdam,Dutch Cup winner,Georginio Wijnaldum
13,PSV Eindhoven,Dutch Super Cup winner,Georginio Wijnaldum
20/21,Atlético de Madrid,Spanish champion,João Félix
19,Portugal,Winner UEFA Nations League,João Félix
18/19,SL Benfica,Portuguese champion,João Félix
18/19,Brazil,Copa América winner,Marquinhos
22/23,Paris Saint-Germain,French champion,Marquinhos
21/22,Paris Saint-Germain,French champion,Marquinhos
19/20,Paris Saint-Germain,French champion,Marquinhos
18/19,Paris Saint-Germain,French champion,Marquinhos
17/18,Paris Saint-Germain,French champion,Marquinhos
15/16,Paris Saint-Germain,French champion,Marquinhos
14/15,Paris Saint-Germain,French champion,Marquinhos
13/14,Paris Saint-Germain,French champion,Marquinhos
20/21,Paris Saint-Germain,French cup winner,Marquinhos
19/20,Paris Saint-Germain,French cup winner,Marquinhos
17/18,Paris Saint-Germain,French cup winner,Marquinhos
16/17,Paris Saint-Germain,French cup winner,Marquinhos
15/16,Paris Saint-Germain,French cup winner,Marquinhos
14/15,Paris Saint-Germain,French cup winner,Marquinhos
19/20,Paris Saint-Germain,French league cup winner,Marquinhos
17/18,Paris Saint-Germain,French league cup winner,Marquinhos
16/17,Paris Saint-Germain,French league cup winner,Marquinhos
15/16,Paris Saint-Germain,French league cup winner,Marquinhos
14/15,Paris Saint-Germain,French league cup winner,Marquinhos
13/14,Paris Saint-Germain,French league cup winner,Marquinhos
11/12,Sport Club Corinthians Paulista,Copa Libertadores winner,Marquinhos
22/23,Paris Saint-Germain,French Super Cup winner,Marquinhos
20/21,Paris Saint-Germain,French Super Cup winner,Marquinhos
19/20,Paris Saint-Germain,French Super Cup winner,Marquinhos
18/19,Paris Saint-Germain,French Super Cup winner,Marquinhos
17/18,Paris Saint-Germain,French Super Cup winner,Marquinhos
16/17,Paris Saint-Germain,French Super Cup winner,Marquinhos
14/15,Paris Saint-Germain,French Super Cup winner,Marquinhos
15/16,Brazil U23,Olympic medalist,Marquinhos
23,Manchester United,English League Cup winner,Donny van de Beek
18/19,Ajax Amsterdam,Dutch champion,Donny van de Beek
18/19,Ajax Amsterdam,Dutch Cup winner,Donny van de Beek
20,Ajax Amsterdam,Dutch Super Cup winner,Donny van de Beek
15,Ajax Amsterdam U19,Dutch U19 Champion,Donny van de Beek
14,Ajax Amsterdam U19,Dutch U19 Champion,Donny van de Beek
21,Chelsea FC,UEFA Best Player in Europe,Jorginho
21,Italy,European champion,Jorginho
20/21,Chelsea FC,Champions League winner,Jorginho
22,Chelsea FC,FIFA Club World Cup winner,Jorginho
21/22,Chelsea FC,Uefa Supercup winner,Jorginho
18/19,Chelsea FC,Europa League winner,Jorginho
13/14,SSC Napoli,Italian cup winner,Jorginho
14/15,SSC Napoli,Italian Super Cup winner,Jorginho
23,Manchester City,UEFA Best Player in Europe,Erling Haaland
23,England,Footballer of the Year,Erling Haaland
22,Norway,Footballer of the Year,Erling Haaland
21,Norway,Footballer of the Year,Erling Haaland
20,Norway,Footballer of the Year,Erling Haaland
19,Austria,Footballer of the Year,Erling Haaland
22/23,Premier League- 36 Goals,Top goal scorer,Erling Haaland
22/23,UEFA Champions League- 12 Goals,Top goal scorer,Erling Haaland
22/23,UEFA Nations League B- 6 Goals,Top goal scorer,Erling Haaland
20/21,UEFA Nations League B- 6 Goals,Top goal scorer,Erling Haaland
20/21,UEFA Champions League- 10 Goals,Top goal scorer,Erling Haaland
18/19,U-20 World Cup 2019- 9 Goals,Top goal scorer,Erling Haaland
23,England,TM-Player of the season,Erling Haaland
20,Austria,TM-Player of the season,Erling Haaland
22/23,Manchester City,Player of the Year,Erling Haaland
22/23,Manchester City,Champions League winner,Erling Haaland
22/23,Manchester City,English Champion,Erling Haaland
23/24,Manchester City,Uefa Supercup winner,Erling Haaland
23,Manchester City,English FA Cup winner,Erling Haaland
20/21,Borussia Dortmund,German cup winner,Erling Haaland
18/19,Red Bull Salzburg,Austrian champion,Erling Haaland
18/19,Red Bull Salzburg,Austrian cup winner,Erling Haaland
21,Italy,Footballer of the Year,Romelu Lukaku
21/22,FIFA Club World Cup- 2 Goals,Top goal scorer,Romelu Lukaku
20/21,UEFA Nations League A- 5 Goals,Top goal scorer,Romelu Lukaku
14/15,UEFA Europa League- 8 Goals,Top goal scorer,Romelu Lukaku
09/10,Jupiler Pro League- 15 Goals,Top goal scorer,Romelu Lukaku
20/21,Inter Milan,Player of the Year,Romelu Lukaku
21,,TM-Player of the season,Romelu Lukaku
22,Chelsea FC,FIFA Club World Cup winner,Romelu Lukaku
20/21,Inter Milan,Italian champion,Romelu Lukaku
12,Chelsea FC,English FA Cup winner,Romelu Lukaku
22/23,Inter Milan,Italian cup winner,Romelu Lukaku
22/23,Inter Milan,Italian Super Cup winner,Romelu Lukaku
09/10,RSC Anderlecht,Belgian champion,Romelu Lukaku
21/22,Juventus FC,Player of the Year,Giorgio Chiellini
21,Italy,European champion,Giorgio Chiellini
19/20,Juventus FC,Italian champion,Giorgio Chiellini
18/19,Juventus FC,Italian champion,Giorgio Chiellini
17/18,Juventus FC,Italian champion,Giorgio Chiellini
16/17,Juventus FC,Italian champion,Giorgio Chiellini
15/16,Juventus FC,Italian champion,Giorgio Chiellini
14/15,Juventus FC,Italian champion,Giorgio Chiellini
13/14,Juventus FC,Italian champion,Giorgio Chiellini
12/13,Juventus FC,Italian champion,Giorgio Chiellini
11/12,Juventus FC,Italian champion,Giorgio Chiellini
20/21,Juventus FC,Italian cup winner,Giorgio Chiellini
17/18,Juventus FC,Italian cup winner,Giorgio Chiellini
16/17,Juventus FC,Italian cup winner,Giorgio Chiellini
15/16,Juventus FC,Italian cup winner,Giorgio Chiellini
14/15,Juventus FC,Italian cup winner,Giorgio Chiellini
20/21,Juventus FC,Italian Super Cup winner,Giorgio Chiellini
18/19,Juventus FC,Italian Super Cup winner,Giorgio Chiellini
15/16,Juventus FC,Italian Super Cup winner,Giorgio Chiellini
13/14,Juventus FC,Italian Super Cup winner,Giorgio Chiellini
12/13,Juventus FC,Italian Super Cup winner,Giorgio Chiellini
21/22,Los Angeles FC,MLS Cup Champion,Giorgio Chiellini
21/22,Los Angeles FC,Supporters' Shield Winner,Giorgio Chiellini
14,England,Footballer of the Year,Luis Suárez
10,Netherlands,Footballer of the Year,Luis Suárez
15/16,LaLiga- 40 Goals,Top goal scorer,Luis Suárez
15/16,Copa del Rey- 5 Goals,Top goal scorer,Luis Suárez
13/14,Premier League- 31 Goals,Top goal scorer,Luis Suárez
13/14,World Cup qualification South America- 11 Goals,Top goal scorer,Luis Suárez
09/10,Eredivisie- 35 Goals,Top goal scorer,Luis Suárez
09/10,KNVB beker- 8 Goals,Top goal scorer,Luis Suárez
10/11,Uruguay,Copa América winner,Luis Suárez
14/15,FC Barcelona,Champions League winner,Luis Suárez
16,FC Barcelona,FIFA Club World Cup winner,Luis Suárez
20/21,Atlético de Madrid,Spanish champion,Luis Suárez
18/19,FC Barcelona,Spanish champion,Luis Suárez
17/18,FC Barcelona,Spanish champion,Luis Suárez
15/16,FC Barcelona,Spanish champion,Luis Suárez
14/15,FC Barcelona,Spanish champion,Luis Suárez
15/16,FC Barcelona,Uefa Supercup winner,Luis Suárez
17/18,FC Barcelona,Spanish cup winner,Luis Suárez
16/17,FC Barcelona,Spanish cup winner,Luis Suárez
15/16,FC Barcelona,Spanish cup winner,Luis Suárez
14/15,FC Barcelona,Spanish cup winner,Luis Suárez
18/19,FC Barcelona,Spanish Super Cup winner,Luis Suárez
16/17,FC Barcelona,Spanish Super Cup winner,Luis Suárez
12,Liverpool FC,English League Cup winner,Luis Suárez
10/11,Ajax Amsterdam,Dutch champion,Luis Suárez
09/10,Ajax Amsterdam,Dutch Cup winner,Luis Suárez
21/22,Club Nacional,Uruguayan champion,Luis Suárez
21,Denmark,Footballer of the Year,Simon Kjær
09,Denmark,Footballer of the Year,Simon Kjær
21/22,AC Milan,Italian champion,Simon Kjær
20/21,Chelsea FC,Champions League winner,Mason Mount
22,Chelsea FC,FIFA Club World Cup winner,Mason Mount
21/22,Chelsea FC,Uefa Supercup winner,Mason Mount
15/16,Chelsea FC UEFA U19,UEFA Youth League Winner,Mason Mount
17,England U19,European Under-19 champion,Mason Mount
16/17,Chelsea FC U18,English Youth League winner (U18),Mason Mount
19,,Footballer of the Year,Bruno Fernandes
18,,Footballer of the Year,Bruno Fernandes
19/20,UEFA Europa League- 8 Goals,Top goal scorer,Bruno Fernandes
18/19,Taça de Portugal- 6 Goals,Top goal scorer,Bruno Fernandes
19/20,Manchester United,Player of the Year,Bruno Fernandes
19,Portugal,TM-Player of the season,Bruno Fernandes
19,Portugal,Winner UEFA Nations League,Bruno Fernandes
23,Manchester United,English League Cup winner,Bruno Fernandes
19,Sporting CP,Portuguese cup winner,Bruno Fernandes
18/19,Sporting CP,Portuguese league cup winner,Bruno Fernandes
17/18,Sporting CP,Portuguese league cup winner,Bruno Fernandes
16/17,U-20 South American Championship 2017- 5 Goals,Top goal scorer,Lautaro Martínez
22,Argentina,World Cup winner,Lautaro Martínez
20/21,Argentina,Copa América winner,Lautaro Martínez
20/21,Inter Milan,Italian champion,Lautaro Martínez
22/23,Inter Milan,Italian cup winner,Lautaro Martínez
21/22,Inter Milan,Italian cup winner,Lautaro Martínez
22/23,Inter Milan,Italian Super Cup winner,Lautaro Martínez
21/22,Inter Milan,Italian Super Cup winner,Lautaro Martínez
21/22,Argentina,CONMEBOL-UEFA Cup of Champions winner,Lautaro Martínez
22/23,FC Barcelona,Spanish champion,Pedri
20/21,FC Barcelona,Spanish cup winner,Pedri
22/23,FC Barcelona,Spanish Super Cup winner,Pedri
22/23,Manchester City,Champions League winner,Phil Foden
22/23,Manchester City,English Champion,Phil Foden
21/22,Manchester City,English Champion,Phil Foden
20/21,Manchester City,English Champion,Phil Foden
18/19,Manchester City,English Champion,Phil Foden
17/18,Manchester City,English Champion,Phil Foden
23/24,Manchester City,Uefa Supercup winner,Phil Foden
23,Manchester City,English FA Cup winner,Phil Foden
19,Manchester City,English FA Cup winner,Phil Foden
21,Manchester City,English League Cup winner,Phil Foden
20,Manchester City,English League Cup winner,Phil Foden
19,Manchester City,English League Cup winner,Phil Foden
18,Manchester City,English League Cup winner,Phil Foden
20,Manchester City,English Super Cup winner,Phil Foden
19,Manchester City,English Super Cup winner,Phil Foden
17,England U17,Under-17 World Cup champion,Phil Foden
20/21,UEFA Europa League- 7 Goals,Top goal scorer,Gerard Moreno
20/21,Villarreal CF,Europa League winner,Gerard Moreno
21,Italy,European champion,Nicolò Barella
20/21,Inter Milan,Italian champion,Nicolò Barella
22/23,Inter Milan,Italian cup winner,Nicolò Barella
21/22,Inter Milan,Italian cup winner,Nicolò Barella
22/23,Inter Milan,Italian Super Cup winner,Nicolò Barella
21/22,Inter Milan,Italian Super Cup winner,Nicolò Barella
15/16,Cagliari Calcio,Italienischer Zweitligameister,Nicolò Barella
21,England,Footballer of the Year,Rúben Dias
20/21,Manchester City,Player of the Year,Rúben Dias
22/23,Manchester City,Champions League winner,Rúben Dias
22/23,Manchester City,English Champion,Rúben Dias
21/22,Manchester City,English Champion,Rúben Dias
20/21,Manchester City,English Champion,Rúben Dias
23/24,Manchester City,Uefa Supercup winner,Rúben Dias
19,Portugal,Winner UEFA Nations League,Rúben Dias
23,Manchester City,English FA Cup winner,Rúben Dias
21,Manchester City,English League Cup winner,Rúben Dias
18/19,SL Benfica,Portuguese champion,Rúben Dias
20,SL Benfica,Portuguese Super Cup winner,Rúben Dias
20/21,Chelsea FC,Champions League winner,Cesar Azpilicueta
22,Chelsea FC,FIFA Club World Cup winner,Cesar Azpilicueta
16/17,Chelsea FC,English Champion,Cesar Azpilicueta
14/15,Chelsea FC,English Champion,Cesar Azpilicueta
21/22,Chelsea FC,Uefa Supercup winner,Cesar Azpilicueta
18/19,Chelsea FC,Europa League winner,Cesar Azpilicueta
12/13,Chelsea FC,Europa League winner,Cesar Azpilicueta
18,Chelsea FC,English FA Cup winner,Cesar Azpilicueta
15,Chelsea FC,English League Cup winner,Cesar Azpilicueta
11/12,Olympique Marseille,French league cup winner,Cesar Azpilicueta
10/11,Olympique Marseille,French league cup winner,Cesar Azpilicueta
11,Spain U21,European Under-21 champion,Cesar Azpilicueta
10/11,Olympique Marseille,French Super Cup winner,Cesar Azpilicueta
16/17,U-17 South American Championship 2017- 7 Goals,Top goal scorer,Vinícius Júnior
21/22,Real Madrid,Champions League winner,Vinícius Júnior
23,Real Madrid,FIFA Club World Cup winner,Vinícius Júnior
19,Real Madrid,FIFA Club World Cup winner,Vinícius Júnior
21/22,Real Madrid,Spanish champion,Vinícius Júnior
19/20,Real Madrid,Spanish champion,Vinícius Júnior
22/23,Real Madrid,Uefa Supercup winner,Vinícius Júnior
22/23,Real Madrid,Spanish cup winner,Vinícius Júnior
21/22,Real Madrid,Spanish Super Cup winner,Vinícius Júnior
19/20,Real Madrid,Spanish Super Cup winner,Vinícius Júnior
15,Brazil U15,Under-15 South American Championship winner,Vinícius Júnior
17,Brazil U17,Under-17 South American Championship winner,Vinícius Júnior
21/22,Eredivisie- 21 Goals,Top goal scorer,Sébastien Haller
15/16,KNVB Beker- 5 Goals,Top goal scorer,Sébastien Haller
17/18,Eintracht Frankfurt,German cup winner,Sébastien Haller
21/22,Ajax Amsterdam,Dutch champion,Sébastien Haller
20/21,Ajax Amsterdam,Dutch champion,Sébastien Haller
20/21,Ajax Amsterdam,Dutch Cup winner,Sébastien Haller
18/19,Liverpool FC,Champions League winner,Fabinho
20,Liverpool FC,FIFA Club World Cup winner,Fabinho
19/20,Liverpool FC,English Champion,Fabinho
16/17,AS Monaco,French champion,Fabinho
19/20,Liverpool FC,Uefa Supercup winner,Fabinho
22,Liverpool FC,English FA Cup winner,Fabinho
22,Liverpool FC,English League Cup winner,Fabinho
23,Liverpool FC,English Super Cup winner,Fabinho
22,Italy,Footballer of the Year,Rafael Leão
21/22,AC Milan,Player of the Year,Rafael Leão
22,,TM-Player of the season,Rafael Leão
21/22,AC Milan,Italian champion,Rafael Leão
17/18,Sporting CP,Portuguese league cup winner,Rafael Leão
16,Portugal U17,European Under-17 champion,Rafael Leão
18/19,Brazil,Copa América winner,Casemiro
21/22,Real Madrid,Champions League winner,Casemiro
17/18,Real Madrid,Champions League winner,Casemiro
16/17,Real Madrid,Champions League winner,Casemiro
15/16,Real Madrid,Champions League winner,Casemiro
13/14,Real Madrid,Champions League winner,Casemiro
18,Real Madrid,FIFA Club World Cup winner,Casemiro
17,Real Madrid,FIFA Club World Cup winner,Casemiro
16,Real Madrid,FIFA Club World Cup winner,Casemiro
21/22,Real Madrid,Spanish champion,Casemiro
19/20,Real Madrid,Spanish champion,Casemiro
16/17,Real Madrid,Spanish champion,Casemiro
22/23,Real Madrid,Uefa Supercup winner,Casemiro
17/18,Real Madrid,Uefa Supercup winner,Casemiro
16/17,Real Madrid,Uefa Supercup winner,Casemiro
13/14,Real Madrid,Spanish cup winner,Casemiro
21/22,Real Madrid,Spanish Super Cup winner,Casemiro
19/20,Real Madrid,Spanish Super Cup winner,Casemiro
17/18,Real Madrid,Spanish Super Cup winner,Casemiro
23,Manchester United,English League Cup winner,Casemiro
11/12,São Paulo Futebol Clube,Copa Sudamericana winner,Casemiro
11,Brazil U20,Under-20 World Cup champion,Casemiro
11,Brazil U20,Under-20 South American Championship winner,Casemiro
20/21,Copa América 2021- 4 Goals,Top goal scorer,Luis Díaz
22,Liverpool FC,English FA Cup winner,Luis Díaz
22,Liverpool FC,English League Cup winner,Luis Díaz
23,Liverpool FC,English Super Cup winner,Luis Díaz
21/22,FC Porto,Portuguese champion,Luis Díaz
19/20,FC Porto,Portuguese champion,Luis Díaz
22,FC Porto,Portuguese cup winner,Luis Díaz
20,FC Porto,Portuguese cup winner,Luis Díaz
18/19,Junior FC,Colombian Champion,Luis Díaz
17/18,Junior FC,Colombian Champion,Luis Díaz
18/19,Junior FC,Colombian Super Cup winner,Luis Díaz
16/17,Junior FC,Colombian Cup winner,Luis Díaz
21,FC Porto,Portuguese Super Cup winner,Luis Díaz
21/22,Italy Cup- 4 Goals,Top goal scorer,Dušan Vlahović
18/19,Coppa Italia Primavera- 6 Goals,Top goal scorer,Dušan Vlahović
16/17,FK Partizan Belgrade,Serbian champion,Dušan Vlahović
16/17,FK Partizan Belgrade,Serbian cup winner,Dušan Vlahović
15/16,FK Partizan Belgrade,Serbian cup winner,Dušan Vlahović
18/19,Fiorentina Primavera,Coppa Italia Primavera winner,Dušan Vlahović
22/23,Manchester City,Champions League winner,João Cancelo
22/23,Manchester City,English Champion,João Cancelo
21/22,Manchester City,English Champion,João Cancelo
20/21,Manchester City,English Champion,João Cancelo
22/23,Bayern Munich,German Champion,João Cancelo
18/19,Juventus FC,Italian champion,João Cancelo
19,Portugal,Winner UEFA Nations League,João Cancelo
21,Manchester City,English League Cup winner,João Cancelo
20,Manchester City,English League Cup winner,João Cancelo
18/19,Juventus FC,Italian Super Cup winner,João Cancelo
20,Manchester City,English Super Cup winner,João Cancelo
13/14,SL Benfica,Portuguese champion,João Cancelo
14,SL Benfica,Portuguese cup winner,João Cancelo
13/14,SL Benfica,Portuguese league cup winner,João Cancelo
15,SL Benfica,Portuguese Super Cup winner,João Cancelo
11,Portugal U17,Torneio Internacional Algarve U17,João Cancelo
19/20,Bayern Munich,Champions League winner,Joshua Kimmich
21,Bayern Munich,FIFA Club World Cup winner,Joshua Kimmich
22/23,Bayern Munich,German Champion,Joshua Kimmich
21/22,Bayern Munich,German Champion,Joshua Kimmich
20/21,Bayern Munich,German Champion,Joshua Kimmich
19/20,Bayern Munich,German Champion,Joshua Kimmich
18/19,Bayern Munich,German Champion,Joshua Kimmich
17/18,Bayern Munich,German Champion,Joshua Kimmich
16/17,Bayern Munich,German Champion,Joshua Kimmich
15/16,Bayern Munich,German Champion,Joshua Kimmich
20/21,Bayern Munich,Uefa Supercup winner,Joshua Kimmich
19/20,Bayern Munich,German cup winner,Joshua Kimmich
18/19,Bayern Munich,German cup winner,Joshua Kimmich
15/16,Bayern Munich,German cup winner,Joshua Kimmich
22/23,Bayern Munich,German Super Cup winner,Joshua Kimmich
21/22,Bayern Munich,German Super Cup winner,Joshua Kimmich
20/21,Bayern Munich,German Super Cup winner,Joshua Kimmich
18/19,Bayern Munich,German Super Cup winner,Joshua Kimmich
17/18,Bayern Munich,German Super Cup winner,Joshua Kimmich
16/17,Bayern Munich,German Super Cup winner,Joshua Kimmich
17,Germany,Confederations Cup winner,Joshua Kimmich
14,Germany U19,European Under-19 champion,Joshua Kimmich
22,Germany,Footballer of the Year,Christopher Nkunku
22/23,Bundesliga- 16 Goals,Top goal scorer,Christopher Nkunku
22,Germany,TM-Player of the season,Christopher Nkunku
18/19,Paris Saint-Germain,French champion,Christopher Nkunku
17/18,Paris Saint-Germain,French champion,Christopher Nkunku
15/16,Paris Saint-Germain,French champion,Christopher Nkunku
22/23,RB Leipzig,German cup winner,Christopher Nkunku
21/22,RB Leipzig,German cup winner,Christopher Nkunku
17/18,Paris Saint-Germain,French cup winner,Christopher Nkunku
16/17,Paris Saint-Germain,French cup winner,Christopher Nkunku
17/18,Paris Saint-Germain,French league cup winner,Christopher Nkunku
16/17,Paris Saint-Germain,French league cup winner,Christopher Nkunku
18/19,Paris Saint-Germain,French Super Cup winner,Christopher Nkunku
17/18,Paris Saint-Germain,French Super Cup winner,Christopher Nkunku
16/17,Paris Saint-Germain,French Super Cup winner,Christopher Nkunku
21/22,Liga Bwin- 26 Goals,Top goal scorer,Darwin Núñez
21/22,SL Benfica,Player of the Year,Darwin Núñez
22,,TM-Player of the season,Darwin Núñez
23,Liverpool FC,English Super Cup winner,Darwin Núñez
17/18,CA Peñarol,Uruguayan champion,Darwin Núñez
